GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line,org.owasp.dependencycheck,App,1097,1200,152,82,258,278,102,32,12,5
Dependency-Check Command Line,org.owasp.dependencycheck,CliParser.ARGUMENT,3,0,0,0,1,0,1,0,1,0
Dependency-Check Command Line,org.owasp.dependencycheck,CliParser,419,1383,92,76,96,265,73,59,9,39
Dependency-Check Command Line,org.owasp.dependencycheck,PluginLoader,6,62,1,5,1,11,2,4,1,2
