GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Core,org.owasp.dependencycheck.utils,WriteLockShutdownHookFactory,9,21,0,0,3,4,0,2,0,2
Dependency-Check Core,org.owasp.dependencycheck.utils,WriteLockShutdownHook,0,3,0,0,0,1,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.utils,WriteLock,193,298,31,27,47,75,29,11,2,9
Dependency-Check Core,org.owasp.dependencycheck.utils,DBUtils,39,22,6,4,13,9,6,3,1,3
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,IndexEntry,35,97,7,7,10,27,10,10,3,10
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,0,9,0,0,0,3,0,3,0,3
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,NpmCpeMemoryIndex,0,9,0,0,0,3,0,3,0,3
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,AbstractMemoryIndex,87,298,15,15,25,75,14,15,1,13
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,24,120,2,2,7,25,2,4,0,4
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,3,13,0,0,2,6,1,3,1,3
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,371,949,71,161,55,196,68,118,17,53
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,11,13,0,0,3,3,2,3,2,3
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,56,267,11,35,15,62,11,27,0,8
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,PropertyType,42,114,4,12,12,25,5,16,1,12
Dependency-Check Core,org.owasp.dependencycheck.data.nexus,NexusV3Search.NexusV3SearchResponseHandler,273,0,32,0,63,0,18,0,2,0
Dependency-Check Core,org.owasp.dependencycheck.data.nexus,MavenArtifact,55,58,0,0,18,19,8,8,8,8
Dependency-Check Core,org.owasp.dependencycheck.data.nexus,NexusV3Search,230,0,22,0,49,0,16,0,5,0
